module_protein,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
1,GO:0042060,wound healing,59/737,444/18986,0.13288288288288289,3.4232217291918783,10.383071877425515,1.0335288440627225e-16,5.308204143106142e-13,3.753341591596203e-13,ANXA2/AP3B1/BLOC1S3/CASP7/CD36/CD40/CD40LG/CDKN1A/CHMP1A/CHMP6/DAG1/DGKA/DGKZ/EPPK1/EREG/F11R/F2R/FGF2/GNAS/GP1BA/GP1BB/GP5/GP6/HBEGF/HPSE/HSPB1/ITGB5/LYN/MPIG6B/MYH9/NFATC1/PAFAH2/PDGFA/PDGFB/PDIA3/PEAR1/PF4/PLA2G4A/PRKG1/PTEN/PTPN6/RHOC/SCRIB/SDC4/SELP/SERPINE1/SERPINE2/SH2B3/SMAD3/SRC/STXBP1/STXBP3/SYTL4/TGFB1/TREML1/VAV3/VEGFA/VPS4B/WAS,59
1,GO:0007599,hemostasis,42/737,241/18986,0.17427385892116182,4.489502693998885,10.95591983740541,2.122526785687517e-16,5.450648785645544e-13,3.854061795064176e-13,ANXA2/AP3B1/BLOC1S3/CD36/CD40/CD40LG/DGKA/DGKZ/F11R/F2R/FLI1/GNAS/GP1BA/GP1BB/GP5/GP6/GPI/HPSE/HSPB1/LYN/MPIG6B/MYH9/NFE2/PAFAH2/PDGFA/PDGFB/PDIA3/PEAR1/PF4/PLA2G4A/PRKG1/PTPN6/SELP/SERPINE1/SERPINE2/SH2B3/SRC/STXBP1/STXBP3/TREML1/VAV3/WAS,42
1,GO:0042327,positive regulation of phosphorylation,60/737,479/18986,0.12526096033402923,3.2268719035303652,9.920064344106615,9.13182353544872e-16,1.563368189268821e-12,1.1054312700806347e-12,ABL1/ANGPT1/APP/ARAF/ARL2BP/AXIN1/BAG4/BANK1/BMP6/CCL5/CD36/CDKN1A/CRKL/CSNK1D/CTF1/DAB2/EGF/EIF4G1/EREG/ERP29/FGF2/HBEGF/HCLS1/IL1B/ITGA6/ITGB1BP1/LAT/LATS1/LYN/MAGED1/MAP2K1/MAP3K5/MAVS/MIF/MYDGF/PDE5A/PDGFA/PDGFB/PECAM1/PIBF1/PSRC1/PTPN1/RAPGEF2/RGCC/SEMA4D/SNX9/SPRY2/SRC/STK11/STK4/SYAP1/TAB2/TGFB1/THPO/TIGAR/TP53/TRAF2/VEGFA/VEGFC/YES1,60
1,GO:0030168,platelet activation,31/737,141/18986,0.2198581560283688,5.663808616492009,11.17047690436103,2.503368069916809e-15,3.2143246017731826e-12,2.2727946950560505e-12,BLOC1S3/CD40/CD40LG/DGKA/DGKZ/F11R/F2R/GNAS/GP1BA/GP1BB/GP5/GP6/HSPB1/LYN/MYH9/PDGFA/PDGFB/PDIA3/PEAR1/PF4/PLA2G4A/PRKG1/PTPN6/SELP/SERPINE2/SH2B3/SRC/STXBP1/STXBP3/TREML1/VAV3,31
1,GO:0001934,positive regulation of protein phosphorylation,57/737,455/18986,0.12527472527472527,3.227226504838445,9.663627156944012,4.9265768883702925e-15,5.0605797797339644e-12,3.5782505820794757e-12,ABL1/ANGPT1/APP/ARAF/ARL2BP/AXIN1/BAG4/BANK1/BMP6/CD36/CDKN1A/CRKL/CSNK1D/CTF1/DAB2/EGF/EIF4G1/EREG/ERP29/FGF2/HBEGF/HCLS1/IL1B/ITGB1BP1/LAT/LATS1/LYN/MAGED1/MAP2K1/MAP3K5/MAVS/MIF/MYDGF/PDE5A/PDGFA/PDGFB/PECAM1/PIBF1/PSRC1/PTPN1/RAPGEF2/RGCC/SEMA4D/SNX9/SPRY2/SRC/STK11/STK4/SYAP1/TAB2/TGFB1/THPO/TP53/TRAF2/VEGFA/VEGFC/YES1,57
1,GO:0050817,coagulation,40/737,241/18986,0.16597510373443983,4.275716851427509,10.28470082456091,6.188117178097234e-15,5.2970283044512325e-12,3.745439344637799e-12,ANGPT1/ANXA2/AP3B1/BLOC1S3/CD36/CD40/CD40LG/DGKA/DGKZ/F11R/F2R/GNAS/GP1BA/GP1BB/GP5/GP6/HPSE/HSPB1/LYN/MPIG6B/MYH9/PAFAH2/PDGFA/PDGFB/PDIA3/PEAR1/PF4/PLA2G4A/PRKG1/PTPN6/SELP/SERPINE1/SERPINE2/SH2B3/SRC/STXBP1/STXBP3/TREML1/VAV3/WAS,40
1,GO:0007596,blood coagulation,39/737,234/18986,0.16666666666666666,4.293532338308458,10.18745193278509,1.1792355587393925e-14,8.6522197566936e-12,6.11783861300888e-12,ANXA2/AP3B1/BLOC1S3/CD36/CD40/CD40LG/DGKA/DGKZ/F11R/F2R/GNAS/GP1BA/GP1BB/GP5/GP6/HPSE/HSPB1/LYN/MPIG6B/MYH9/PAFAH2/PDGFA/PDGFB/PDIA3/PEAR1/PF4/PLA2G4A/PRKG1/PTPN6/SELP/SERPINE1/SERPINE2/SH2B3/SRC/STXBP1/STXBP3/TREML1/VAV3/WAS,39
1,GO:2001233,regulation of apoptotic signaling pathway,52/737,403/18986,0.12903225806451613,3.324025036109773,9.476651741490482,2.4556406814158155e-14,1.5765213174689537e-11,1.1147316251163901e-11,APP/BAX/BCL2L1/BCL2L11/BDNF/BECN1/BID/CASP2/CD40LG/CDKN2D/COL2A1/CRADD/CSNK2A1/DAPK2/CXCL12/EIF2AK3/ENO1/ERP29/FADD/FGF2/FIS1/FXN/GSTP1/HNRNPK/HSPA1A/HSPB1/HTRA2/IL1B/IL7/ITGA6/MAGED1/MAPK9/MIF/NCK2/P4HB/PDIA3/PF4/PPIF/PRKRA/PTPN1/RRM2B/SERPINE1/SOD2/SRC/STK4/STX4/TNFSF12/TNFSF14/TP53/TRAF2/TRIAP1/USP47,52
1,GO:0097193,intrinsic apoptotic signaling pathway,46/737,327/18986,0.14067278287461774,3.6238988543520927,9.618255133403961,3.343704575441182e-14,1.908140744385101e-11,1.3492141269324067e-11,ABL1/AIFM1/APP/BAG6/BAX/BCL2L1/BCL2L11/BECN1/BID/BRSK2/CASP2/CASP3/CASP9/CDKN1A/CDKN2D/DAPK2/CXCL12/DIABLO/EIF2AK3/ENO1/ERP29/FGF2/FHIT/FIS1/HNRNPK/HSPA1A/HSPB1/HTRA2/ITPR1/MAP3K5/MIF/NCK2/P4HB/PPIF/PPM1F/PRKRA/PTPN1/RRM2B/SOD2/SRC/STK11/STK24/TP53/TRAF2/TRIAP1/USP47,46
1,GO:0010563,negative regulation of phosphorus metabolic process,44/737,306/18986,0.1437908496732026,3.704223978148473,9.583727258102993,5.555556458418099e-14,2.5939398154941234e-11,1.8341310795734393e-11,ABL1/AKT1S1/ATP5IF1/BAG4/CDK5RAP3/CDKN1A/CDKN2D/CEP43/CEP85/CHMP6/CRKL/DKK1/DMD/DUSP3/EIF4G1/FIS1/GIT1/GSTP1/HHEX/HSPB1/IL1B/ITGB1BP1/LATS1/LYN/NCK2/PARD3/PDGFA/PDGFB/PIBF1/PPM1F/PPP2R5A/PRDX3/PRKG1/PTEN/PTPN1/PTPN6/SEMA4D/SIRT2/SPRED2/SPRY2/TARBP2/TGFB1/TIGAR/TP53,44
1,GO:0045936,negative regulation of phosphate metabolic process,44/737,306/18986,0.1437908496732026,3.704223978148473,9.583727258102993,5.555556458418099e-14,2.5939398154941234e-11,1.8341310795734393e-11,ABL1/AKT1S1/ATP5IF1/BAG4/CDK5RAP3/CDKN1A/CDKN2D/CEP43/CEP85/CHMP6/CRKL/DKK1/DMD/DUSP3/EIF4G1/FIS1/GIT1/GSTP1/HHEX/HSPB1/IL1B/ITGB1BP1/LATS1/LYN/NCK2/PARD3/PDGFA/PDGFB/PIBF1/PPM1F/PPP2R5A/PRDX3/PRKG1/PTEN/PTPN1/PTPN6/SEMA4D/SIRT2/SPRED2/SPRY2/TARBP2/TGFB1/TIGAR/TP53,44
1,GO:0006935,chemotaxis,56/737,472/18986,0.11864406779661017,3.056412850999241,9.091817046906995,8.895931402310761e-14,3.807458640189006e-11,2.692189766488783e-11,AIF1/ANGPT1/APP/BIN2/CCL13/CCL17/CCL28/CCL4/CCL5/CCL26/CCL8/CORO1A/CRKL/CXCL1/CXCL11/CXCL3/CXCL5/CXCL6/DAPK2/CXCL12/DUSP3/FES/FGF2/HBEGF/HSPB1/IL1B/JAM3/LGMN/LYN/MAP2K1/MDK/MIF/MYCBP2/PDGFA/PDGFB/PF4/PIKFYVE/PLXNA4/PLXNB3/PPBP/PPIB/PPM1F/PRKD2/C1QBP/S100A4/SCRIB/SEMA4D/SERPINE1/SMAD3/STX4/TGFB1/TNFSF14/TYMP/VAV3/VEGFA/VEGFC,56
1,GO:0042330,taxis,56/737,474/18986,0.11814345991561181,3.04351659424397,9.054410450125578,1.0635926883244801e-13,4.202009267103485e-11,2.9711698580724344e-11,AIF1/ANGPT1/APP/BIN2/CCL13/CCL17/CCL28/CCL4/CCL5/CCL26/CCL8/CORO1A/CRKL/CXCL1/CXCL11/CXCL3/CXCL5/CXCL6/DAPK2/CXCL12/DUSP3/FES/FGF2/HBEGF/HSPB1/IL1B/JAM3/LGMN/LYN/MAP2K1/MDK/MIF/MYCBP2/PDGFA/PDGFB/PF4/PIKFYVE/PLXNA4/PLXNB3/PPBP/PPIB/PPM1F/PRKD2/C1QBP/S100A4/SCRIB/SEMA4D/SERPINE1/SMAD3/STX4/TGFB1/TNFSF14/TYMP/VAV3/VEGFA/VEGFC,56
1,GO:0050900,leukocyte migration,49/737,404/18986,0.12128712871287128,3.1245012560957584,8.674030720895004,1.4717501781597564e-12,5.399220653591791e-10,3.817697830564782e-10,ABL1/AIF1/APP/BCR/CCL13/CCL28/CCL4/CCL5/CCL26/CCL8/CD69/CORO1A/CRKL/CXCL1/CXCL11/CXCL3/CXCL5/CXCL6/DAPK2/CXCL12/F11R/FADD/GP1BA/IL1B/IRAK4/ITGA6/JAM3/LGMN/LYN/MDK/MIF/MYH9/PDGFB/PECAM1/PF4/PIKFYVE/PPBP/PPIB/C1QBP/SELP/SERPINE1/SRC/STAT5B/TGFB1/TNFSF14/VAV3/VEGFA/VEGFC/YES1,49
1,GO:0050878,regulation of body fluid levels,47/737,381/18986,0.12335958005249344,3.1778900771731893,8.629847393870921,2.3203653464273503e-12,7.706128988993468e-10,5.448873793250424e-10,AKR1B1/ANXA2/AP3B1/BLOC1S3/BTC/CD36/CD40/CD40LG/DGKA/DGKZ/F11R/F2R/FLI1/GNAS/GP1BA/GP1BB/GP5/GP6/GPI/HPSE/HSPB1/LYN/MPIG6B/MYH9/NFE2/PAFAH2/PDGFA/PDGFB/PDIA3/PEAR1/PF4/PLA2G4A/PRKG1/PTPN6/SELP/SERPINE1/SERPINE2/SH2B3/SRC/STAT5B/STXBP1/STXBP3/TREML1/VAMP8/VAV3/VEGFA/WAS,47
1,GO:0007249,canonical NF-kappaB signal transduction,43/737,327/18986,0.13149847094801223,3.3875576247204346,8.751914481069248,2.4006632364465635e-12,7.706128988993468e-10,5.448873793250424e-10,ABL1/ANGPT1/AZI2/BIRC2/CASP10/CASP8/CC2D1A/CD36/CD40/CD40LG/EDAR/F2R/FADD/GAPDH/GSTP1/HSPB1/IKBKG/IL1B/IRAK1/IRAK4/LAMTOR5/MAVS/MTDH/NFAT5/NFKB1/OTUD7B/PPM1A/PRDX1/RHOC/S100A4/TAB2/TANK/TGFB1/TMEM106A/TNFSF14/TNIP1/TRAF2/TRIM21/TRIM25/TRIM5/TRIM58/VEGFA/XIAP,43
1,GO:0043122,regulation of canonical NF-kappaB signal transduction,41/737,305/18986,0.13442622950819672,3.4629801810619036,8.714255430354774,3.83184588106985e-12,1.1576682614808676e-9,8.18567695956098e-10,ABL1/ANGPT1/AZI2/BIRC2/CASP10/CASP8/CC2D1A/CD36/CD40/CD40LG/EDAR/F2R/FADD/GAPDH/GSTP1/HSPB1/IKBKG/IL1B/IRAK1/IRAK4/LAMTOR5/MAVS/MTDH/NFAT5/OTUD7B/PPM1A/RHOC/S100A4/TAB2/TANK/TGFB1/TMEM106A/TNFSF14/TNIP1/TRAF2/TRIM21/TRIM25/TRIM5/TRIM58/VEGFA/XIAP,41
1,GO:0016197,endosomal transport,40/737,294/18986,0.1360544217687075,3.504924357802823,8.69881117948491,4.793241355396214e-12,1.3676715334063863e-9,9.670574664395872e-10,ARF6/ARFIP1/ARHGAP1/BECN1/CHMP1A/CHMP6/CORO1A/CRACR2A/DAB2/DCTN1/EHD3/EVI5/HGS/MAP2K1/MICALL2/PIKFYVE/RAB10/RAB11FIP3/REPS1/SCRIB/SNAP25/SNX2/SNX5/SNX9/SORT1/SRC/STAM/STX16/STX6/STX8/TBC1D23/TBC1D5/VPS28/VPS37A/VPS4B/VPS53/VTA1/VTI1A/WAS/WASHC3,40
1,GO:0043123,positive regulation of canonical NF-kappaB signal transduction,34/737,223/18986,0.15246636771300448,3.9277156816812795,8.837912555884927,8.086396753318042e-12,2.1858807223706035e-9,1.5455993794430608e-9,ABL1/BIRC2/CASP10/CASP8/CC2D1A/CD36/CD40/CD40LG/EDAR/F2R/FADD/GAPDH/IKBKG/IL1B/IRAK1/IRAK4/LAMTOR5/MAVS/MTDH/NFAT5/PPM1A/RHOC/S100A4/TAB2/TGFB1/TMEM106A/TNFSF14/TRAF2/TRIM21/TRIM25/TRIM5/TRIM58/VEGFA/XIAP,34
1,GO:0060326,cell chemotaxis,41/737,328/18986,0.125,3.220149253731343,8.150909257763754,3.983964052083239e-11,1.0230819685749759e-8,7.234039989309039e-9,AIF1/APP/BIN2/CCL13/CCL17/CCL28/CCL4/CCL5/CCL26/CCL8/CORO1A/CRKL/CXCL1/CXCL11/CXCL3/CXCL5/CXCL6/DAPK2/CXCL12/FGF2/HBEGF/HSPB1/IL1B/JAM3/LGMN/LYN/MDK/MIF/PDGFB/PF4/PIKFYVE/PLXNB3/PPBP/PPIB/PRKD2/C1QBP/SERPINE1/TNFSF14/VAV3/VEGFA/VEGFC,41
1,GO:0016050,vesicle organization,45/737,386/18986,0.11658031088082901,3.0032480086613567,7.990821123820439,4.731096496433256e-11,1.1541957235102916e-8,8.16112322944439e-9,ACRBP/ANXA2/AP3B1/AP3S2/ATP6V1F/ATP6V1G1/BLOC1S3/CC2D1A/CHMP1A/CHMP6/CORO1A/CSNK1D/DLG4/DNM1/DNM3/F2R/HGS/IRAG2/IST1/PIKFYVE/SDC4/SEC31A/SERPINE2/SNAP23/SNAP25/SNAP29/SNAPIN/SORT1/STAM/STX16/STX4/STX6/STX7/STX8/STXBP1/USO1/USP8/VAMP8/VAV3/VPS28/VPS37A/VPS4B/VTA1/VTI1A/TYRP1,45
1,GO:2001242,regulation of intrinsic apoptotic signaling pathway,30/737,189/18986,0.15873015873015872,4.0890784174366255,8.576993355292815,4.9601925136119926e-11,1.1541957235102916e-8,8.16112322944439e-9,APP/BAX/BCL2L1/BCL2L11/BECN1/BID/CDKN2D/DAPK2/CXCL12/EIF2AK3/ENO1/ERP29/FGF2/FIS1/HNRNPK/HSPA1A/HSPB1/HTRA2/MIF/NCK2/P4HB/PPIF/PRKRA/PTPN1/RRM2B/SOD2/SRC/TP53/TRIAP1/USP47,30
1,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,40/737,317/18986,0.12618296529968454,3.250623852347097,8.120663776831256,5.168711378648113e-11,1.1541957235102916e-8,8.16112322944439e-9,ANGPT1/APP/BAG4/BANK1/BECN1/CCL5/CD40/DAG1/EGF/F2R/FGF2/HBEGF/HCLS1/HPSE/INPPL1/ITGB1BP1/MTDH/MYDGF/PDGFA/PDGFB/PEAR1/PTEN/PTPN1/PTPN6/RNF41/RRAS/C1QBP/SELP/SEMA4D/SERPINE2/SH2B3/PDGFC/SPRY2/SRC/STAMBP/STK11/TGFB1/THPO/VAV3/VEGFA,40
1,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,37/737,280/18986,0.13214285714285715,3.4041577825159917,8.144623748883395,7.239423505510718e-11,1.5492366301792937e-8,1.0954390830707006e-8,ANGPT1/APP/BAG4/BANK1/BECN1/CCL5/DAG1/EGF/F2R/FGF2/HBEGF/HCLS1/HPSE/ITGB1BP1/MTDH/MYDGF/PDGFA/PDGFB/PTEN/PTPN1/PTPN6/RNF41/RRAS/C1QBP/SELP/SEMA4D/SERPINE2/SH2B3/PDGFC/SPRY2/SRC/STAMBP/STK11/TGFB1/THPO/VAV3/VEGFA,37
1,GO:0097529,myeloid leukocyte migration,34/737,243/18986,0.13991769547325103,3.6044469012959897,8.21142632947076,9.037060046014949e-11,1.811993146509618e-8,1.2812297826402243e-8,AIF1/APP/BCR/CCL13/CCL4/CCL5/CCL26/CCL8/CXCL1/CXCL11/CXCL3/CXCL5/CXCL6/DAPK2/CXCL12/IL1B/IRAK4/JAM3/LGMN/LYN/MDK/MIF/PDGFB/PECAM1/PF4/PIKFYVE/PPBP/PPIB/C1QBP/SERPINE1/STAT5B/VAV3/VEGFA/VEGFC,34
1,GO:0042326,negative regulation of phosphorylation,35/737,256/18986,0.13671875,3.522038246268657,8.164362350763621,9.172862501801026e-11,1.811993146509618e-8,1.2812297826402243e-8,ABL1/AKT1S1/CDK5RAP3/CDKN1A/CDKN2D/CEP43/CEP85/CHMP6/CRKL/DKK1/DMD/DUSP3/EIF4G1/GSTP1/HHEX/HSPB1/IL1B/ITGB1BP1/LATS1/LYN/NCK2/PARD3/PIBF1/PPM1F/PPP2R5A/PRDX3/PTEN/PTPN1/PTPN6/SEMA4D/SIRT2/SPRED2/SPRY2/TARBP2/TGFB1,35
1,GO:0052548,regulation of endopeptidase activity,34/737,248/18986,0.13709677419354838,3.531776600866634,8.065088064368629,1.5817448120402632e-10,2.9363247188444997e-8,2.0762256681450907e-8,AIFM1/BCL2L11/BIRC2/CASP8/CASP9/CDKN2D/CRADD/CSNK2A1/DIABLO/DNAJB6/EIF2AK3/F2R/FADD/GAPDH/HTRA2/LAMTOR5/LGMN/LYN/MAP3K5/PPM1F/SERPINB1/SERPINB6/SERPINB9/SERPINE1/SERPINE2/SERPINH1/SMAD3/SRC/TIMP3/TRIAP1/USP47/VEGFA/VSIR/XIAP,34
1,GO:0043549,regulation of kinase activity,49/737,460/18986,0.10652173913043478,2.744127190136275,7.610019115169999,1.6008000803669392e-10,2.9363247188444997e-8,2.0762256681450907e-8,ABL1/AKT1S1/ANGPT1/AXIN1/CDC37/CDK5RAP3/CDKN1A/CDKN2D/CEP43/CEP85/CHMP6/DUSP3/EREG/ERP29/FGF2/GSTP1/HGS/HHEX/HSPB1/IL1B/ITGB1BP1/LAT/LATS1/LYN/MAGED1/MAP2K1/MAP3K5/MIF/PDE5A/PDGFA/PDGFB/PIBF1/PPM1F/PPP2R5A/PRDX3/PSRC1/PTEN/PTPN1/RAPGEF2/RGCC/SNX9/SRC/STK11/SYAP1/TAB2/TARBP2/TIGAR/TRAF2/VEGFC,49
1,GO:0097191,extrinsic apoptotic signaling pathway,33/737,236/18986,0.13983050847457626,3.602200860106248,8.083802428023196,1.7405121133500894e-10,3.0825069704020896e-8,2.179588671890312e-8,APP/BAX/BCL2L1/BCL2L11/BID/CASP10/CASP2/CASP8/CD40LG/COL2A1/CRADD/DIABLO/FADD/FOXO3/GSTP1/HSPA1A/HTRA2/IL1B/IL7/ITGA6/PDIA3/PF4/RNF41/SERPINE1/SMAD3/SORT1/SRC/STK4/STX4/TGFB1/TNFSF12/TNFSF14/TRAF2,33
1,GO:0045785,positive regulation of cell adhesion,51/737,499/18986,0.10220440881763528,2.632907606257291,7.428449466172342,2.9485990297766215e-10,5.048001538977576e-8,3.569356720255911e-8,ABL1/AIF1/ANGPT1/AP3B1/BAG4/CCL28/CCL5/CD36/CD40LG/CORO1A/CRKL/DAB2/DAG1/CXCL12/F11R/FADD/FOXO3/GP1BA/GP6/IL1B/IL7/IRAK1/ITGA6/ITGB1BP1/LYN/MDK/NCK2/NFAT5/NID1/P4HB/PDGFB/PPM1F/PRKD2/PTPN6/RRAS/C1QBP/SDC4/SELP/SMAD3/SMARCA2/SRC/STAT5B/STK4/STX4/TGFB1/TNFSF14/VAV3/VEGFA/VSIR/YES1/ZBTB16,51
1,GO:0043086,negative regulation of catalytic activity,50/737,486/18986,0.102880658436214,2.65032860389411,7.40665654743437,3.5225872053783973e-10,5.836131576394661e-8,4.1266301726843704e-8,ABL1/AKT1S1/APP/ATP5IF1/BAG4/CDK5RAP3/CDKN1A/CDKN2D/CEP43/CEP85/CHMP6/CSNK2A1/DFFA/DNAJB6/DUSP3/GAPDH/GSTP1/HHEX/HSPB1/IL1B/LAMTOR5/ITGB1BP1/LATS1/LYN/NFKB1/PLXNB3/PPM1F/PPP1R12A/PPP2R5A/PRDX3/PRDX5/PTEN/PTPN1/SERPINB1/SERPINB6/SERPINB9/SERPINE1/SERPINE2/SERPINH1/SLC27A4/SORT1/SPINT2/SRC/TARBP2/TIMP3/TP53/TRIAP1/USP47/VEGFA/XIAP,50
1,GO:0045862,positive regulation of proteolysis,39/737,325/18986,0.12,3.091343283582089,7.642211611781738,4.0567006571214263e-10,6.356620408539691e-8,4.494659044405217e-8,AIFM1/ANXA2/APP/ATP5IF1/AXIN1/BAG6/BCL2L11/CASP8/CASP9/CRADD/CSNK1D/DAB2/DIABLO/EGF/EIF2AK3/ELOB/ENO1/F2R/FADD/FMR1/HSPA1A/HTRA2/IKBKG/IL1B/IST1/LGMN/LYN/MAP3K5/MAPK9/MYH9/NUB1/PPM1F/PTEN/SIRT2/SMAD3/SNX9/SRC/TANK/VSIR,39
1,GO:0045859,regulation of protein kinase activity,46/737,427/18986,0.10772833723653395,2.775210598063546,7.45600246093411,4.084277131655175e-10,6.356620408539691e-8,4.494659044405217e-8,ABL1/AKT1S1/ANGPT1/AXIN1/CDC37/CDK5RAP3/CDKN1A/CDKN2D/CEP43/CEP85/CHMP6/DUSP3/EREG/ERP29/FGF2/GSTP1/HGS/HHEX/HSPB1/IL1B/ITGB1BP1/LAT/LATS1/LYN/MAGED1/MAP2K1/MAP3K5/MIF/PDE5A/PDGFA/PDGFB/PIBF1/PPM1F/PSRC1/PTEN/PTPN1/RAPGEF2/RGCC/SNX9/SRC/STK11/SYAP1/TAB2/TARBP2/TRAF2/VEGFC,46
1,GO:0032496,response to lipopolysaccharide,41/737,354/18986,0.11581920903954802,2.98364111645164,7.571021927251993,4.2659976246906896e-10,6.444165823650406e-8,4.556560930397177e-8,ABL1/BCR/BMP6/CASP3/CASP7/CASP8/CASP9/CD36/CD40/CNP/CXCL1/CXCL11/CXCL3/CXCL5/CXCL6/ERBIN/F2R/GBP2/GFER/GIT1/GSTP1/IL1B/IRAK1/IRAK4/LYN/MAPKAPK2/MIF/MTDH/NFKB1/PF4/PLSCR3/PPBP/PRDX3/SELP/SERPINE1/SOD2/SRC/TAB2/TNIP1/TRIM5/XIAP,41
1,GO:1902903,regulation of supramolecular fiber organization,44/737,400/18986,0.11,2.8337313432835822,7.448901760101552,5.110980957614602e-10,7.499999485231027e-8,5.3031230988783085e-8,ABL1/APP/ARF6/ARFIP1/ARHGEF10/BAG4/BRK1/CAMSAP1/CCL26/CCN2/CORO1A/DCTN1/CXCL12/F11R/FES/FKBP4/GIT1/GMFG/HCLS1/HSPA1A/ITGB1BP1/LATS1/MAP2/MTSS1/NAA80/NCK2/PFDN2/PPM1F/PSRC1/RGCC/RHOC/SDC4/SH3BP1/SMAD3/SNX9/MTPN/TMSB10/TWF2/USP8/VASP/WAS/WASF1/WASF3/WASHC3,44
1,GO:0043254,regulation of protein-containing complex assembly,46/737,433/18986,0.10623556581986143,2.7367550239564302,7.346744707969554,6.453607908036302e-10,9.20714728213179e-8,6.510218503720831e-8,ABL1/ARF6/BAG4/BAX/BCL2L11/BID/BIRC2/BRK1/CAMSAP1/CCL26/CD36/CORO1A/DCTN1/DKK1/DNAJC6/EIF2AK2/EIF4G1/FES/FKBP4/GBP2/GIT1/HCLS1/HSPA1A/JAM3/LATS1/MAP2/MAPK9/MAVS/MMP1/NCK2/NEK7/PSRC1/RHOC/SELP/SIRT2/SNX9/SRC/MTPN/STXBP1/TGFB1/TMSB10/TP53/TRAF2/TWF2/VASP/VEGFA,46
1,GO:0001933,negative regulation of protein phosphorylation,32/737,236/18986,0.13559322033898305,3.493043258284847,7.744701592200321,7.285925435975134e-10,1.0113652172748187e-7,7.151192817671185e-8,ABL1/AKT1S1/CDK5RAP3/CDKN1A/CEP43/CEP85/CHMP6/CRKL/DKK1/DMD/DUSP3/EIF4G1/GSTP1/HHEX/HSPB1/IL1B/ITGB1BP1/LATS1/LYN/NCK2/PARD3/PIBF1/PPM1F/PTEN/PTPN1/PTPN6/SEMA4D/SIRT2/SPRED2/SPRY2/TARBP2/TGFB1,32
