name,wY_01,wY_02,wY_03,wY_04,wY_05,wY_06,wY_07,wY_08,wY_09,wY_10
fid_23474,-0.09353827151230953,0.13305977163331245,0.17115340059988413,-0.05148443022617622,0.12947346288164938,-0.06203645510108532,-0.09337178896572891,-0.30500067427385924,0.05949382155138173,0.10128183275330357
fid_23475,-0.024280001758672596,-0.00883971354682105,-0.0339809191363669,0.029689584392651975,-0.052052567880747545,0.023371963971316762,-0.04155122243257373,-0.04526716141376328,-0.011508258035454319,-0.021248193578328103
fid_23476,0.05434535599304105,-0.023641598145065473,-0.04332469309512122,0.03780937532643704,-0.12188089998765145,0.06209097922914853,0.08672688548835725,0.20650203830621344,-0.06703042342433368,0.012359806025633878
fid_23477,2.1383245850331434e-4,-0.09061334382121937,-0.05511480798557413,-0.09278938644224667,0.006980489051012812,0.01709016284210388,0.09341402008741062,-0.08281048263744971,-0.3255317237718765,-0.12282703719330586
fid_23460,0.019197212096210375,-0.15956669998849055,-0.017139994359050798,0.1936278936137193,0.030321713987477607,0.09900906969179503,0.09941678699254974,0.13656513743132775,0.05524070220594533,0.03839023641360665
fid_23479,-0.14753827629731123,-0.19298273635948107,-0.2862946795429091,-0.014827684522444776,0.1819469094473176,-0.3753495109697274,0.19155614251412817,-0.2986362338550628,-0.2467152926430364,0.4066686038903381
fid_23440,0.24362240426335088,0.17302659339686466,0.6480028412308242,0.538443572891071,-0.6171210654277945,-0.709669477571509,-0.17120638827359588,0.8911217967689664,0.13049034005809565,-0.3433115690789032
fid_23439,-0.42349963733976376,-0.09046598300802977,0.003217265766290522,-0.8902423822658805,-0.5727242469982523,-1.2105782758888928,0.7053025020781599,-0.009480241576854323,-0.4547677881791659,0.008368457271211004
fid_23441,0.04557039959209554,-0.1526420192361661,0.5218800581317766,0.7320837580411313,0.2964833341985907,-0.23912105537394934,0.8131061121043525,-0.7888133982020509,-1.3086865783038604,0.23937821761786984
fid_23433,-0.7456005670104785,0.5095227859178411,0.41151805211458936,-0.5112521371306774,0.27553310004831805,0.8694143938475715,0.8053467159011714,-1.9074787047849493,-0.6237960683516136,-0.592372521773718
fid_23432,-0.020899733085691152,-0.07802139257157187,0.013531526983415367,-0.2023355697468847,-0.07446697231577255,0.011799217267599957,-0.06390320743772357,0.06543580736104394,-0.19946545466430574,0.037257992875557144
fid_23431,-0.14744712856678394,0.17201190637149658,-0.23194978832639065,-0.291292102322184,0.27258568245966414,0.0031456987099950664,-0.6540695907015812,0.04426501931902228,0.007480467554588847,0.8744992017072537
fid_23484,0.028401169797938216,-0.18332225479360728,-0.04636688945462945,-0.02836773810089771,0.7119878527804059,-0.10086875886976278,0.00883110471675536,-0.732464513452747,-0.30030185100049833,0.4945070491656707
fid_23526,0.05264648563178471,0.5531021921852827,-0.29845925913800403,0.09036957694549766,0.189324994078929,0.7117357795058437,-1.1126356358605396,0.022052534318834072,-0.14839007278714103,-0.1089284862652497
fid_23561,-0.14267590938626762,-1.0871471070929106,-0.027028328356977292,-0.7303299770513951,-0.2976351213154202,-1.0367024293762497,0.16871953353650573,-0.5415746360798976,0.8952709368319947,0.09673735406645499
fid_23533,0.13520959245230837,0.1809072148921124,0.3522614193778437,0.13509174858336814,0.15871998678342417,0.445606366601329,-0.9971745602259309,-0.5037991725607361,-0.10824833587567888,0.5549996776885061
fid_23498,-0.0402991652570716,0.31745469276227917,0.19152087953216515,-0.36533666388693314,-0.7328571011147966,-0.13701053416864029,-0.7053714332820821,0.5185275638873053,-0.977518997964764,0.9785942243002828
fid_23568,0.33434580095109795,-0.43666446663359315,0.007863307002384438,-0.1503783593253661,0.66454441748109,1.0817044076130702,0.4219424329210389,0.006698848487208134,0.3053236446807107,0.06652774793101619
