ontology,pathway_id,pathway_description,module_protein,protein,metabolite_label
GO,GO:0097529,myeloid leukocyte migration,1,IL1B,Lactate
GO,GO:0097529,myeloid leukocyte migration,1,IL1B,Pyruvate
GO,GO:0097529,myeloid leukocyte migration,1,PDGFB,Lactate
GO,GO:0097529,myeloid leukocyte migration,1,SERPINE1,Lactate
GO,GO:0042326,negative regulation of phosphorylation,1,CHMP6,Triglycerides in Very Large HDL
GO,GO:0042326,negative regulation of phosphorylation,1,CHMP6,Triglycerides in Large HDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Small HDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Glycoprotein Acetyls
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Monounsaturated Fatty Acids
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Triglycerides
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Monounsaturated Fatty Acids to Total Fatty Acids percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Small LDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesterol in Chylomicrons and Extremely Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Concentration of Very Large VLDL Particles
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Small VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Lipids in Very Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids in Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids in Very Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Very Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Concentration of Large VLDL Particles
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Free Cholesterol in Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Free Cholesterol in Very Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Free Cholesterol in Chylomicrons and Extremely Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides to Total Lipids in Medium HDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids in Chylomicrons and Extremely Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides to Total Lipids in Small HDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Medium LDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Lipids in VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Concentration of Chylomicrons and Extremely Large VLDL Particles
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters to Total Lipids in Medium HDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Lipids in Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Very Small VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesterol in Very Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in HDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Medium HDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in LDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides to Phosphoglycerides ratio
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Medium VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Lipids in Chylomicrons and Extremely Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesterol to Total Lipids in Medium HDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Free Cholesterol to Total Lipids in Medium LDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesterol in Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Average Diameter for VLDL Particles
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids in VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Saturated Fatty Acids
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Large LDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in IDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters in Very Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Chylomicrons and Extremely Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Fatty Acids
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Lipids in Small VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Concentration of Small VLDL Particles
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides to Total Lipids in Large HDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters in Large VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Free Cholesterol in VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Free Cholesterol to Total Lipids in Small LDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids to Total Lipids in Small LDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Concentration of VLDL Particles
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides to Total Lipids in Very Large HDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters to Total Lipids in Small LDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Lipids in Medium VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides to Total Lipids in Small LDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids to Total Lipids in Large VLDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,VLDL Cholesterol
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids in Small VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Concentration of Medium VLDL Particles
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters in Small VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Triglycerides in Very Large HDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesterol to Total Lipids in Small HDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids in Medium VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters to Total Lipids in Medium LDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters in VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesterol in Small VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Phospholipids in Very Small VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Cholesteryl Esters to Total Lipids in Small HDL percentage
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Total Lipids in Very Small VLDL
GO,GO:0042326,negative regulation of phosphorylation,1,HHEX,Concentration of Very Small VLDL Particles
GO,GO:0042326,negative regulation of phosphorylation,1,IL1B,Lactate
GO,GO:0042326,negative regulation of phosphorylation,1,IL1B,Pyruvate
GO,GO:0052548,regulation of endopeptidase activity,1,SERPINE1,Lactate
GO,GO:0043549,regulation of kinase activity,1,ANGPT1,Lactate
GO,GO:0043549,regulation of kinase activity,1,CHMP6,Triglycerides in Very Large HDL
GO,GO:0043549,regulation of kinase activity,1,CHMP6,Triglycerides in Large HDL
GO,GO:0043549,regulation of kinase activity,1,EREG,Lactate
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Small HDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Glycoprotein Acetyls
GO,GO:0043549,regulation of kinase activity,1,HHEX,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
GO,GO:0043549,regulation of kinase activity,1,HHEX,Monounsaturated Fatty Acids
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Triglycerides
GO,GO:0043549,regulation of kinase activity,1,HHEX,Monounsaturated Fatty Acids to Total Fatty Acids percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Small LDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesterol in Chylomicrons and Extremely Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Concentration of Very Large VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Small VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Lipids in Very Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids in Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids in Very Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Very Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Concentration of Large VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,HHEX,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Free Cholesterol in Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Free Cholesterol in Very Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Free Cholesterol in Chylomicrons and Extremely Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides to Total Lipids in Medium HDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids in Chylomicrons and Extremely Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides to Total Lipids in Small HDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Medium LDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Lipids in VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Concentration of Chylomicrons and Extremely Large VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters to Total Lipids in Medium HDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Lipids in Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Very Small VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesterol in Very Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in HDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Medium HDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in LDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides to Phosphoglycerides ratio
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Medium VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Lipids in Chylomicrons and Extremely Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesterol to Total Lipids in Medium HDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Free Cholesterol to Total Lipids in Medium LDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesterol in Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Average Diameter for VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids in VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Saturated Fatty Acids
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Large LDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in IDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters in Very Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Chylomicrons and Extremely Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Fatty Acids
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Lipids in Small VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Concentration of Small VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides to Total Lipids in Large HDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters in Large VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Free Cholesterol in VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Free Cholesterol to Total Lipids in Small LDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids to Total Lipids in Small LDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Concentration of VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides to Total Lipids in Very Large HDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters to Total Lipids in Small LDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Lipids in Medium VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides to Total Lipids in Small LDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids to Total Lipids in Large VLDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,VLDL Cholesterol
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids in Small VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Concentration of Medium VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters in Small VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Triglycerides in Very Large HDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesterol to Total Lipids in Small HDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids in Medium VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters to Total Lipids in Medium LDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters in VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesterol in Small VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Phospholipids in Very Small VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Cholesteryl Esters to Total Lipids in Small HDL percentage
GO,GO:0043549,regulation of kinase activity,1,HHEX,Total Lipids in Very Small VLDL
GO,GO:0043549,regulation of kinase activity,1,HHEX,Concentration of Very Small VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,IL1B,Lactate
GO,GO:0043549,regulation of kinase activity,1,IL1B,Pyruvate
GO,GO:0043549,regulation of kinase activity,1,PDGFB,Lactate
GO,GO:0043549,regulation of kinase activity,1,SYAP1,Omega-6 Fatty Acids
GO,GO:0043549,regulation of kinase activity,1,SYAP1,Total Lipids in Very Small VLDL
GO,GO:0043549,regulation of kinase activity,1,SYAP1,Concentration of Very Small VLDL Particles
GO,GO:0043549,regulation of kinase activity,1,SYAP1,Linoleic Acid
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,APP,Lactate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,BID,Lactate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,BID,Pyruvate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,CD40LG,Lactate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,CD40LG,Pyruvate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,IL1B,Lactate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,IL1B,Pyruvate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,ITGA6,Lactate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,SERPINE1,Lactate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,TNFSF14,Lactate
GO,GO:0097191,extrinsic apoptotic signaling pathway,1,TNFSF14,Pyruvate
GO,GO:0045785,positive regulation of cell adhesion,1,ANGPT1,Lactate
GO,GO:0045785,positive regulation of cell adhesion,1,CD40LG,Lactate
GO,GO:0045785,positive regulation of cell adhesion,1,CD40LG,Pyruvate
GO,GO:0045785,positive regulation of cell adhesion,1,DAG1,Lactate
GO,GO:0045785,positive regulation of cell adhesion,1,IL1B,Lactate
GO,GO:0045785,positive regulation of cell adhesion,1,IL1B,Pyruvate
GO,GO:0045785,positive regulation of cell adhesion,1,ITGA6,Lactate
GO,GO:0045785,positive regulation of cell adhesion,1,PDGFB,Lactate
GO,GO:0045785,positive regulation of cell adhesion,1,SDC4,Lactate
GO,GO:0045785,positive regulation of cell adhesion,1,TNFSF14,Lactate
GO,GO:0045785,positive regulation of cell adhesion,1,TNFSF14,Pyruvate
